Item name,Supplier,Supplier code,Item size,Item Unit of Measure,€ Price per unit (excluding VAT),Tax rate
Nikka From The Barrel 50Cl 51.4%,Vagawond,91173,500,ml,48.25,23.0%
Nori Japanese Dried Seaweed (50X Sheets),Vegetable Nation,,400,g,25.90,
Noval Fine Ruby Port,Vagawond,11449,1,ea,15.00,23.0%
Nutmeg Whole (100G),Vegetable Nation,31106,100,g,4.95,0%
"Nuts - Smoked Almonds, 1Kg",Fine Foods,030.310.055,1000,g,20.50,23%
Nuts- Hazelnuts Blanched Skin-Off (1Kg),Vegetable Nation,75055,1000,g,17.50,0%
Nuts- Macadamia (1Kg),Vegetable Nation,75170,1000,g,31.50,0%
Nuts- Pecan Halves (1Kg),Vegetable Nation,75140,1000,g,24.80,0%
Nuts- Pine Kernals (500G),Vegetable Nation,75136,500,g,21.80,
Nuts- Pistachio Skin-Off (1Kg),Vegetable Nation,75106,1000,g,56.90,0%
Nuts- Pistachio Skin-Off Iran (500G)[Na Use 75106],Vegetable Nation,75105,500,g,29.85,0%
"O-Med Chardonnay White Wine Vinegar 2L,",Fine Foods,080.100.046,2000,ml,26.85,0%
O-Med Pedro Ximenez Sherry Vinegar 2L,Fine Foods,080.100.120,2000,ml,26.85,0%
"Oil - Molino Xv Olive Oil Spain 5L, Ea",Fine Foods,080.200.020,5000,ml,85.35,0%
Oil- Pumpkin Seed Pure Organic (250Ml Tin),Vegetable Nation,26091,250,ml,9.80,0%
Oils Pomace Oil Blend 1 X 5 L,Brokes Food,745009,5,L,31.55,
"Olga Raffault Chinon Les Barnabes 2020, 75Cl",Vagawond,107835,750,ml,17.25,23.0%
"Olga Raffault Chinon Les Picasses 2016, 75Cl",Vagawond,107398,750,ml,23.17,23.0%
Olive Oil Extra Virgin -Le Blanc (1Ltr),Vegetable Nation,26026,1000,ml,24.60,0%
Olive Oil Extra Virgin (1Ltr),Vegetable Nation,26005,1000,ml,13.80,0%
Olive Oil Extra Virgin (5Ltr),Vegetable Nation,26000,5000,ml,62.80,0%
Olive Oil Pomace 5L,Vegetable Nation,OOP02E,5000,ml,21.00,0.0%
"Olivier Leflaive Puligny Montrachet 2022, 75Cl",Vagawond,108602,750,ml,93.83,23.0%
Onion Pearl White 5Kg,Vegetable Nation,ONP01B,5000,g,23.80,0.0%
Onion Red  ,Brokes Food,97245,1,ea,0.99,
Onion Red Prepack 1Kg,Vegetable Nation,ORP03E,1000,g,1.95,0.0%
Onion Roscoff 1Kg,Vegetable Nation,ONR02E,1000,g,6.00,0.0%
Onion Roscoff Loose 5Kg,Brokes Food,97268,5,kg,36.61,
Onion Spain 20Kg,Brokes Food,208021,20000,g,12.25,0.0%
Onion White Peeled 2Kg,Vegetable Nation,OWP02B,2000,g,4.50,0.0%
Onion White Skin 10Kg,Vegetable Nation,OWS05B,10000,g,26.00,0.0%
Onions Fried & Dried (400G),Vegetable Nation,31066,400,g,4.95,0%
Onions Pearl Silver-Skin Frozen (2.5Kg),Vegetable Nation,25024,2500,g,8.95,0%
Orange Blood,Vegetable Nation,ORB02,1,ea,0.60,
Orange Net ,Vegetable Nation,ORN02,6,ea,4.40,
Oregano 1Kg,Vegetable Nation,ORE02B,1000,g,18.80,0.0%
Oregano Bag,Vegetable Nation,ORE01E,50,g,1.55,0.0%
Out On Bale 30L Keg,Farringtons Brewery,,30000,ml,105.00,23.0%
Oyster Harty Rock No.2 (X35) 90-110G [Na] A9264,Vegetable Nation,,35,ea,36.20,
Pago De Tharsys Cava Brut Nature,Le Caveau,LCSP25,750,ml,84.42,23%
Pampero Rum Blanco 700Ml,Catering Providers,713777,700,ml,24.06,0%
Parmesan Wedge,Vegetable Nation,PAW04,1,kg,12.00,
Parsley Flat 1Kg,Vegetable Nation,PAF02B,1000,g,10.00,0.0%
Parsley Flat Pkt,Vegetable Nation,PAF01,1,ea,1.20,
Parsnip Ireland . 12 X 500 Gm . Pre Pack,Brokes Food,PARP,500,g,1.10,0.0%
Passoa Liqueur 700Ml X 6,Catering Providers,2271046,700,ml,93.60,23.0%
Pasta Elbows 77 20X500G,Vegetable Nation,PAE01B,500,g,26.88,0.0%
Pcb: Lecithin Soy - Emul S (600G) No.8,Vegetable Nation,33186,600,g,38.50,0%
Peanut Butter Smooth (340G) 75167,Vegetable Nation,75169,340,g,4.15,0%
Pear Conference Each,Brokes Food,122448,1,ea,0.38,0.0%
Pear Loose Premium Each,Vegetable Nation,PEL03E,1,ea,0.44,0.0%
Pectin Yellow E440 (1Kg),Vegetable Nation,,1000,g,105.00,
"Pedro Ximinez Vinegar 12Yo, 2 Litre",Artisan Foods,,2000,ml,23.95,0.0%
Peeled Plum Tomatoes,Brokes Food,767010,2.55,kg,26.95,
Penfolds Bin 28 Kalimna,O'Briens Wines,13WAUS008,1,ea,26.25,23%
Pepper Chilli Green 250G,Vegetable Nation,PCG06E,250,g,2.20,0.0%
Pepper Chilli Green Jalapeno/Serano 1Kg,Vegetable Nation,PCG04B,1000,g,8.20,0.0%
Pepper Green 5Kg,Brokes Food,97028,5000,g,0.85,
Pepper Green Prepack 5X1Kg,Vegetable Nation,PGP01,1,kg,4.80,
Pepper Szechuan (200G),Vegetable Nation,31222,200,g,7.30,0%
Peppercorns Black Whole (500G Tub),Vegetable Nation,31417,500,g,8.20,0%
Peppercorns Green In Brine (750G Tin),Vegetable Nation,31195,750,g,10.90,0%
Peppercorns Pink Dried (250G),Vegetable Nation,31416,250,g,16.90,0%
Peppercorns Pink Dried (250G),Vegetable Nation,31416,250,g,12.95,
Pernod 700Ml,Catering Providers,2203885,700,ml,24.95,
Peroni Long Neck Beer 330Ml X 24,Catering Providers,2310659,24,ea,28.95,23.0%
"Pico Maccario Barbaresco 2019, 75Cl",Vagawond,107490,750,ml,23.17,23.0%
Pineapple Juice 1Ltr X 12,Catering Providers,212341,1000,ml,19.75,0%
"Pira Luigi Serralunga Barolo 2020, 75Cl",Vagawond,109481,750,ml,33.75,23.0%
Pistachio Paste (1Kg) Trablit,Vegetable Nation,,1000,g,69.95,
Pork Belly Boneless Rind-On (4Kg) Kilo,Vegetable Nation,,4000,g,10.80,
Pork Cheeks (10Kg) Kilo,Vegetable Nation,,10000,g,13.65,
Pork Fillet (5 X370G) Kilo,Vegetable Nation,,370,g,11.40,
Port Red Cooking (2Ltr) **R.O.I. Only,Vegetable Nation,88005,2000,ml,25.90,0%
Port Red Cooking (2Ltr) **R.O.I. Only**,Vegetable Nation,88005,2000,ml,21.80,
Possoa Passion Fruit Liqueur 70Cl 17%,Vagawond,10641,700,ml,71.00,23.0%
Potato Baker Rooster 10Kg,Vegetable Nation,POB03B,10000,g,11.00,0.0%
Potato Chipping Agria Washed 20Kg,Vegetable Nation,PCA01B,20000,g,25.00,0.0%
Potato Markies Washed,Vegetable Nation,PMW02,25,kg,16.00,
Potato Rooster Washed 10Kg,Brokes Food,POWLRO,10000,g,11.99,0.0%
Potato Starch (1Kg),Vegetable Nation,33040,1000,g,3.90,0%
Premier Cling Film 18Inchx300M 1X1Ea,Sysco,492324,1,ea,6.50,23%
Premier Tin Foil 18Inchx75M 1X1 Ea,Sysco,492345,1,ea,7.95,23%
Premium Multiple Magnetic Charging Shelf (6),Catering Providers,77778695,6,ea,120.00,23.0%
Prep Cabbage Green Shredded 2Kg,Brokes Food,PVCG2,2000,g,3.90,0.0%
Prep Potato Fondant Each,Brokes Food,98240,1,ea,0.90,
Prep Potato Grated 5Kg,Brokes Food,200695,5000,g,12.00,0.0%
Prep Potato Sliced 5Kg,Brokes Food,98246,5,kg,9.40,
Prep Veg Various Garlic Peeled 1 Kg Tub,Brokes Food,98141,1,kg,5.25,
Prep Veg Various Potato Grated . 5 Kg Bag,Brokes Food,PVPOGR5,5000,g,15.00,0.0%
Prunes Semi-Dried & Pitted (1Kg),Vegetable Nation,54015,1000,g,11.00,0%
Pudding- Inch House Black Fresh Blood (1.2Kg),Vegetable Nation,18299,1200,g,18.90,0%
Pudding:Black Pudding-Irish Hugh Maguire (500G),Vegetable Nation,18600,500,g,5.85,0%
Pumpkin Kabocha Green Each,Vegetable Nation,PKG01E,1,ea,8.15,0.0%
Pumpkin Seeds (1Kg),Vegetable Nation,31069,1000,g,9.00,0%
Puree Ponthier- Acai Berry (1 Litre),Vegetable Nation,50266,1000,ml,18.80,0%
Puree Ponthier- Blood Orange Pgi (1 Litre),Vegetable Nation,50129,1000,ml,8.50,
Puree Ponthier- Cranberry (1 Litre),Vegetable Nation,50154,1000,ml,11.80,0%
Puree Ponthier- Raspberry (1 Litre),Vegetable Nation,50150,1000,ml,12.95,
Puree Ponthier- Rhubarb Red (1 Litre),Vegetable Nation,50100,1000,ml,12.80,0%
"Quinta Soalheiro Alvarinho 2023, 75Cl",Vagawond,109169,750,ml,14.50,23.0%
Rabbit Saddles (360G X 4) Kilo,Vegetable Nation,14015,360,g,16.90,0%
Radish Each,Vegetable Nation,RAD01E,1,ea,0.95,0.0%
Radish Pre Pack 125G Each,Brokes Food,RADP,125,g,0.55,0.0%
Raspberries 125G,Vegetable Nation,RAS02E,125,g,2.50,0.0%
Raspberries Punnet 125G Each,Brokes Food,165118,125,g,2.45,0.0%
"Red Wine 11% Cooking 5L, Ea",Fine Foods,080.300.140,5000,ml,18.95,0%
Redbreast 12Yo 70Cl 40%,Vagawond,3101,700,ml,156.03,23.0%
Relish Tomato 1Kg,Brokes Food,RELTA1,1000,g,9.06,0.0%
Removeable Shelf Life Label 2X4 Inch ,Sysco,PD9040,1,ea,9.74,23%
Rhubarb 10S,Vegetable Nation,RHU02,1,ea,36.00,
Rhubarb Dutch,Vegetable Nation,RHD01,6,kg,45.00,
Ribend/Shortrib - Split - Kg,Meat Supply,,1000,g,7.80,0.0%
Rice Basmati 5Kg,Brokes Food,751001,5000,g,13.56,0.0%
Rice Flour White (1.5Kg),Vegetable Nation,26344,1500,g,3.25,0%
Risotto Rice,Vegetable Nation,,10000,g,44.80,
Rive Della Chiesa Prosecco Frizzante,Le Caveau,LCIT37R,750,ml,62.16,23%
Rive Della Chiesa Prosecco Screw Cap,Le Caveau,LCIT37T,750,ml,59.88,23%
Rocket 2X500G,Vegetable Nation,ROC03,500,g,4.75,
Rockshore Cider 30Lt Keg 4%,Vagawond,10161,30000,ml,109.17,23.0%
Rockshore Larger 30Lt Keg 4%,Vagawond,21040,30000,ml,109.17,23.0%
Roku Gin 700Ml,Catering Providers,2275749,700,ml,27.95,
Rosemary Bag,Vegetable Nation,ROS01E,50,g,1.12,0.0%
Rs Dillisk Seaweed Sourdoug 700Gx8P,Odaios Foods,141447,700,g,53.85,0%
Rustico Pistachio Signature Plate 20Cm,Catering Providers,5676926,1,ea,19.57,23.0%
Rustico Pistachio Walled Plate 21Cm X 6,Catering Providers,5676922,6,ea,52.70,23.0%
Rustico Selene Bowl 17 Cm X 6,Catering Providers,66673953,6,ea,63.80,23.0%
Rustico Selene Bowl 9 Cm X 6,Catering Providers,66673954,6,ea,34.29,23.0%
Sage Bag,Vegetable Nation,SAG01E,50,g,1.45,0.0%
Salmon Fillets Large,Vegetable Nation,,,g,,
Salt Maldon Sea 1.5Kg,Vegetable Nation,SMS01B,1500,g,15.00,0.0%
Salt- Maldon Sea Salt (1.4Kg),Vegetable Nation,31471,1400,g,14.80,0%
Salt- Maldon Smoked Sea Salt (125G),Vegetable Nation,31238,125,g,2.95,0%
Salt- Pink Preserving (1Kg),Vegetable Nation,,1000,g,13.25,
Salt- Sea Salt Fine (5Kg),Vegetable Nation,31226,5000,g,7.95,0%
Sambuca Ramazotti 700Ml,Catering Providers,2268868,700,ml,16.95,
Samphire,Vegetable Nation,SAM01,1,kg,15.50,
San Pell Sparkling Glass 750Ml X 12,Catering Providers,2011610,1,ea,15.95,23.0%
San Pellegrino Glass 250Ml X 24,Catering Providers,2014115,250,ml,17.95,
San Pellegrino Sparkling Glass 750Mlx12,Vagawond,11445,750,ml,13.50,23.0%
Santa Duc Gigondas Lieux Dits,Le Caveau,LCRH04,750,ml,298.11,23%
Santa Marta Limoncello 25% 50Cl,Vagawond,3211,500,ml,85.20,23.0%
Sausage Meat -Iqf (1Kg),Vegetable Nation,18608,1000,g,6.50,0%
Sausage Morteau (400G X 5) Kilo,Vegetable Nation,16103,400,g,24.75,
Sausage Pork 8'S Gold Medal (5Kg),Vegetable Nation,18050,5000,g,35.75,0%
Scallion 7X12,Vegetable Nation,SCA05B,12,ea,57.50,0.0%
Scallion Bunch,Vegetable Nation,SCA05E,1,ea,0.62,0.0%
Scallop Meat Fresh,Fish Galore,DSCA,1000,g,35.00,0.0%
Scallop Shell,Fish Galore,DSCSH,1000,g,0.25,0.0%
Sch S/L Tonic 125Ml Irish Nr,Vagawond,1246,125,ml,11.70,23.0%
Sch Soda 125Ml Irish Nr,Vagawond,1251,125,ml,11.70,23.0%
Sch Tonic 125Ml Irish Nr,Vagawond,1245,125,ml,11.70,23.0%
Schweppes Slimline Tonic Nrb 125Ml X 24,Catering Providers,2014176,24,ea,10.50,23.0%
Schweppes Soda Water Nrb 125Ml X 24,Catering Providers,2014468,24,ea,10.50,23.0%
Schweppes Tonic Nrb 125Ml X 24,Catering Providers,2014175,24,ea,10.50,23.0%
Sea Bass Whole,Fish Galore,,500,g,,
Sea Salt Fine 5Kg,Brokes Food,753019,5,kg,7.73,
Sea Trout Fillets,Fish Galore,DTROUTF,1000,g,17.00,0.0%
Sea Trout Fillets (Large),Fish Galore,DTROUTFL,1000,g,17.00,0.0%
Seaweed- Kombu Dried (113G),Vegetable Nation,26170,113,g,4.95,0%
Sesame Seeds White (1Kg),Vegetable Nation,31010,1000,g,9.25,0%
Shallots Banana 4Kg,Brokes Food,208081,4000,g,13.99,0.0%
Silicone Mini-Savarin Sf010 41H 12M,Odaios Foods,138436,1,ea,10.52,23%
Silver Tequila Jose Cuervo 70Cl 38%,Vagawond,10309,700,ml,126.35,23.0%
Smoked Eel Fillets,Fish Galore,DSMEF,200,g,19.00,0.0%
Snacking: Smoked Almonds Nuts -Skin On- (1Kg),Vegetable Nation,75023,1000,g,13.58,23%
Soft White Corn Tortilla (15001) 15Cm X 144/Cs,Fine Foods,010.000.090,144,ea,18.25,0%
Sorrel Bag,Vegetable Nation,SOR01E,50,ea,1.12,0.0%
Soy Sauce Dark 1 Litre,Brokes Food,732052,1,L,7.85,
Soya Sauce Light,Vegetable Nation,SSL02,1.9,L,10.65,
Sphere Ice,Ice 2,,12,ea,12.00,23.0%
Spinach Baby 2 X 500G,Brokes Food,15075,500,g,6.15,0.0%
Spinach Baby 2X500G,Vegetable Nation,SPB02B,500,g,7.50,0.0%
Squash Crown Prince Each,Vegetable Nation,SQC02E,1,ea,8.00,0.0%
Star Anise,Brokes Food,,500,g,8.55,
Stonewell Dry 500Ml Yellow 5%,Vagawond,393,500,ml,36.73,23.0%
Stonewell Med 500Ml Red 5%,Vagawond,406,1,ea,36.73,23.0%
Strawberries Punnet 1 X 500G Each,Brokes Food,STRL,500,g,4.55,0.0%
Striploin Dry Aged,Meat Supply,,1000,g,18.60,0.0%
Sugar Brown Soft Light (3Kg Bag),Vegetable Nation,80034,3000,g,12.95,0%
Sugar Caster (25Kg),Vegetable Nation,80037,25000,g,42.90,0%
Sugar Icing (3Kg),Vegetable Nation,,3000,g,8.45,
Sunflower Seeds (1Kg),Vegetable Nation,31042,1000,g,3.95,0%
Suze 70Cl 20%,Vagawond,10966,700,ml,120.59,23.0%
"Sybille Kuntz Riesling Kabinett 2022, 75Cl",Vagawond,109340,750,ml,21.58,23.0%
Sysco Classic Pecan Nut Halves 1X1 Kg,Sysco,494675,1000,g,34.72,0%
Tabasco Sauce 60Ml,Catering Providers,TAB01010,60,ml,2.45,0%
Tahini Paste 1 Kg ,Brokes Food,732054,1,kg,11.15,
Tanqueray Gin 0.0 % 700Ml,Catering Providers,2275365,700,ml,16.95,23.0%
Tanqueray Gin 700Ml,Catering Providers,2260606,700,ml,22.95,23.0%
Tanqueray Gin 70Cl 40%,Vagawond,3285,700,ml,159.96,23.0%
Tarragon,Vegetable Nation,TAR01E,50,g,1.12,0.0%
Taylors Velvet Falernum 700Ml,Catering Providers,2274847,700,ml,24.95,
Teisseire Syrup Almond 70Cl,Vagawond,10525,700,ml,53.10,23.0%
Teisseire Syrup Elderflower 70Cl,Vagawond,10524,700,ml,53.10,23.0%
Teisseire Syrup Raspberry Fruit 1Lt,Vagawond,10804,1000,ml,53.10,23.0%
Teisseire Syrup Strawberry 1Lt,Vagawond,10556,1000,ml,53.10,23.0%
Teisseire Syrup Vanilla 1Lt,Vagawond,10523,1000,ml,53.10,23.0%
Temple Plate 8.25'' (21Cm) X 6,Catering Providers,77768812,6,ea,89.32,23.0%
Tequila Jose Cuervo 70Cl38%,Vagawond,974,700,ml,112.00,23.0%
The Long Road Ipa 30L Keg,Farringtons Brewery,,30000,ml,105.00,23.0%
Thunder Container Food Storage 11.4Lt 1X1Ea,Sysco,136373,1,ea,33.14,23%
Thunder Container Space Saving 7.6 Lt 1X1 Ea,Sysco,490528,1,ea,31.53,23%
Thunder Container Space Serving 17Lt 1X1 Ea,Sysco,490524,1,ea,47.30,23%
Thyme Bag,Vegetable Nation,THY01E,50,g,1.12,0.0%
Tia Maria 70Cl 20%,Vagawond,828,700,ml,90.00,23.0%
Tin Foil,Brokes Food,742006,1,ea,6.84,
Tinned Coconut Milk 24 X 400Ml,Brokes Food,763000,400,ml,2.45,
Tomahawk Steak,Meat Supply,,1000,g,27.50,0.0%
Tomato Cherry Red 250G,Vegetable Nation,TCR01E,250,g,1.75,0.0%
Tomato Cherry Vine 3Kg,Vegetable Nation,TCV01B,3000,g,15.50,0.0%
Tomato Heirloom 3Kg,Vegetable Nation,TOH02,3,kg,23.50,
Tomato Holland Plum Vine,Brokes Food,97015,5,kg,18.99,
Tomato Paste (Puree),Brokes Food,767024,800,g,19.47,0.0%
Tomatoe Plum Vine Box 5 Kg,Brokes Food,97015,5,kg,14.50,0%
Tomatoes Plum 1Kg,Brokes Food,143402,1000,g,3.95,0.0%
Tonka Bean,,,,,,
Tork Xpress Extra Soft Multifold Hand Towel X,Catering Providers,5968428,1,ea,70.20,23.0%
Transglutaminase - Meat Glue (500G) Tg Cbp,Vegetable Nation,99150,500,g,38.90,0%
Treacle Black (7.25Kg),Vegetable Nation,80064,7250,g,28.75,0%
Trout Caviar,Fish Galore,DTROC,1000,g,26.00,0.0%
Truffle Honey Acacia (110G),Vegetable Nation,23018,110,g,5.90,0%
Truffle Sauce - Classic Salsa Tartufata (500G),Vegetable Nation,23002,500,g,12.90,0%
Tuna,Fish Galore,DTUNAF,1000,g,30.00,0.0%
Umami: Candied Yuzu Peel (30G),Vegetable Nation,43102,30,g,3.90,0%
Umami: Liquid Concentrated Yagisawa Dashi (360Ml),Vegetable Nation,43117,360,ml,19.80,0%
Umami: Miso With Yuzu (150G),Vegetable Nation,43116,150,g,4.95,0%
Umami: Roasted Sesame Seeds W/Kimchi (80G),Vegetable Nation,43165,80,g,5.10,0%
Umami: Sea Grape Seaweed (40G),Vegetable Nation,43217,40,g,7.95,0%
Umami: Shibanuma Yuzu Ponzu Sauce (300Ml),Vegetable Nation,50081,300,ml,9.95,0%
Umami: Soy Sauce Mature (3Yr) (150Ml),Vegetable Nation,43194,150,ml,10.95,0%
Umami: Soy Sauce White (360Ml),Vegetable Nation,43170,360,ml,7.20,0%
Umami: Sumo Spicy Miso Sauce (360G),Vegetable Nation,43095,360,g,9.45,0%
Umami: Tsuyu Soy Sauce W/Dashi (500Ml),Vegetable Nation,43169,500,ml,16.00,0%
Umami: White Miso (500G),Vegetable Nation,43115,500,g,9.45,0%
Umami: Yuzu Juice (200Ml),Vegetable Nation,50091,200,ml,16.85,0%
Umami: Yuzu Vinegar (200Ml),Vegetable Nation,43225,200,ml,17.95,
Unsalted Butter 20X454Gm,Sysco,DY517,454,g,79.83,0%
"Urbina Reserva Especial Tempranillo 2006, 75Cl",Vagawond,107208,750,ml,21.33,23.0%
Vacuum Pouches (300X400Mm) (X1000),Vegetable Nation,61194,1000,ea,168.85,23%
Vanilla Ice Cream 5Ltrx1Pk,Odaios Foods,140607,5000,ml,41.38,23%
Vanilla Pods Madagascar (X10) Use 55069,Vegetable Nation,55024,10,ea,24.40,0%
Veal Bones 1X20 Kg,Sysco,VL134Z,20000,g,93.67,0%
"Veal Demi Glace Stock 25°Bx Ire 2Kg X 3, Cs",Fine Foods,080.405.002,2000,g,97.85,0%
Veg Mkt Hv- Salad Mixed Leaves (1Kg),Vegetable Nation,22251,1000,g,14.95,0%
Venison Saddle,Meat Supply,,1000,g,18.90,0.0%
Vinegar - Rhubarb (1Ltr),Vegetable Nation,26482,1000,ml,15.60,0%
Vinegar Wine Red 5 Litre,Brokes Food,768007,5000,ml,3.95,0.0%
Vinegar Wine White 5 Litre,Brokes Food,VIWIWI,5000,ml,4.99,0.0%
Vinegar- Raspberry (500Ml),Vegetable Nation,26195,500,ml,3.45,0%
Vinegar- Sherry (500Ml),Vegetable Nation,26240,500,ml,2.90,0%
Vinegar- White Wine (5Ltr),Vegetable Nation,26155,5000,ml,9.00,0%
Volare Banana 22% 700Ml,Catering Providers,2275440,700,ml,14.95,0%
Volare Butterscotch 20% 700Ml,Catering Providers,2273959,700,ml,13.95,23.0%
Volare Peppermint Green 22% 70Cl,Vagawond,10437,700,ml,82.01,23.0%
Volare Triple Sec 20% 700Ml,Catering Providers,2273963,700,ml,14.25,23.0%
Volare Triple Sec Liqueur 20% 70Cl,Vagawond,10430,700,ml,77.94,23.0%
Volare White Cacao 20% 70Cl,Vagawond,10435,700,ml,77.04,23.0%
Walnuts Pickled (6 X 390G),Vegetable Nation,25842,390,g,39.95,0%
Warre'S Otima 10 Year Old Tawny Port,O'Briens Wines,32104,1,ea,17.93,23%
Wasabi Citrus Dressing,Artisan Foods,,1000,ml,19.95,0.0%
Wasabi Paste (43G),Vegetable Nation,26102,43,g,2.45,0%
Watercress 100G,Vegetable Nation,WAT02E,100,g,1.12,0.0%
"Weingut Salwey Spatburgunder Kaiserstuhl 2022, 75Cl",Vagawond,109338,750,ml,19.50,23.0%
Whit Leaf Toilet Tissue 2Ply 5X9 Ea,Sysco,493478,9,ea,9.50,23%
White Wine Vinegar 1X5 Lt,Sysco,2032,5000,ml,9.92,0%
"Wild Atlantic Scallops Roe-Off 10/20 ~35/Bag, 1Kg",Fine Foods,130.055.090,1000,g,53.00,0%
Wiston Estate Brut Nv,Le Caveau,LCUK03A,750,ml,242.22,23%
Woodford Reserve Bourbon 700Ml 43.2%,Catering Providers,2261707,700,ml,33.24,23.0%
Wray & Nephew Overproof,Vagawond,101061,700,ml,215.12,23.0%
"Xantana Clear Gum, Sosa, 500G",Fine Foods,100.010.000,500,g,43.20,0%
Xanthan Gum (300G),Vegetable Nation,34005,300,g,14.90,0%
Xeres Vinegar 1L,Artisan Foods,,1000,ml,12.25,0.0%
Yeast Fresh (1Kg),Vegetable Nation,,1000,g,5.95,
Yogurt Glenilen Natural (5Kg),Vegetable Nation,40426,5000,g,19.60,0%
Yogurt Velvet Cloud Sheep (1Kg),Vegetable Nation,42115,1000,g,8.95,0%
"Yuzu Juice, 360Ml",Artisan Foods,,360,ml,35.50,0.0%