Menu item name,Name (Ingredient 1),Qty (Ingredient 1),Unit (Ingredient 1),Status (Ingredient 1),Name (Ingredient 2),Qty (Ingredient 2),Unit (Ingredient 2),Status (Ingredient 2),Name (Ingredient 3),Qty (Ingredient 3),Unit (Ingredient 3),Status (Ingredient 3),Name (Ingredient 4),Qty (Ingredient 4),Unit (Ingredient 4),Status (Ingredient 4)
Bitter Sunset,Cube Ice,100,ea,FOUND,DBI DEHYDRATED ORANGE SLICES 140G,1.0,g,FOUND,CAMPARI 70cl 25%,30.0,ml,FOUND,APEROL 700ML,30.00,ml,FOUND
Negroni,Cube Ice,1,ea,FOUND,DBI DEHYDRATED ORANGE SLICES 140G,1.0,g,FOUND,ANGOSTURA ORANGE BITTERS 100ML 28%,1.84,ml,FOUND,,,,
Raspberry & Ginger Smash,Cube Ice,4,ea,FOUND,DBI DEHYDRATED LIME SLICES 140G,2.0,g,FOUND,TEISSEIRE SYRUP RASPBERRY FRUIT 1LT,25.0,ml,FOUND,FINEST CALL LIME JUICE 1LTR DRS,25.00,ml,FOUND
Almond Blossom Sour,DBI DEHYDRATED LEMON SLICES 110G,2,g,FOUND,TANQUERAY GIN 0.0 % 700ML,50.0,ml,FOUND,MIXER LEMON JUICE 70cl,30.0,ml,FOUND,TEISSEIRE SYRUP ALMOND 70CL,15.00,ml,FOUND
Virgin Passion Martini,MSK: Freeze Dried Raspberry Powder (200g),2,g,FOUND,MIXER PASSION FRUIT PUREE 6X1LT,40.0,ml,FOUND,TEISSEIRE SYRUP VANILLA 1LT,10.0,ml,FOUND,MIXER LIME JUICE 70CL,10.00,ml,FOUND
Virgin Cosmopolitan,DBI DEHYDRATED BLOOD ORANGES SLICES 150G,2,g,FOUND,TANQUERAY GIN 0.0 % 700ML,40.0,ml,FOUND,BRITVIC ORANGE 200ML NRB X 24,1.0,ea,FOUND,CRANBERRY JUICE 1LTR X 12,40.00,ml,FOUND
Irish Coffee Martini,JAMESON 1 LTR 40%,30,ml,FOUND,BAILEYS 1LTR,2000000.0,ml,FOUND,TEISSEIRE SYRUP VANILLA 1LT,10.0,ml,FOUND,,,,
Passion Martini,MSK: Freeze Dried Raspberry Powder (200g),2,g,FOUND,KETEL ONE VODKA 70CL 40%,40.0,ml,FOUND,PASSOA LIQUEuR 700ML X 6,20.0,ml,FOUND,MIXER PASSION FRUIT PUREE 6X1LT,"2,000.00",ml,FOUND
Negroni,Cube Ice,1,ea,FOUND,DBI DEHYDRATED ORANGE SLICES 140G,2.0,g,FOUND,TANQUERAY GIN 700ML,30.0,ml,FOUND,CAMPARI 70cl 25%,30.00,ml,FOUND
Moscow Mule,Cube Ice,sfsd,ea,FOUND,DBI DEHYDRATED LIME SLICES 140G,2.0,g,FOUND,KETEL ONE VODKA 70CL 40%,50.0,ml,FOUND,FINEST CALL LIME JUICE 1LTR DRS,25.00,ml,FOUND
Gin Martini***,DBI DEHYDRATED LEMON SLICES 110G,2,g,FOUND,TANQUERAY GIN 700ML,60.0,ml,FOUND,ANGOSTURA ORANGE BITTERS 100ML 28%,0.92,ml,FOUND,,,,
Old Fashioned***,Sphere Ice,1,ea,FOUND,DBI DEHYDRATED ORANGE SLICES 140G,2.0,g,FOUND,BULLEIT BOURBON 700ML 45%,60.0,ml,FOUND,ANGOSTURA ORANGE BITTERS 100ML 28%,1.84,ml,FOUND
Cosmopolitan,DBI DEHYDRATED ORANGE SLICES 140G,2,g,FOUND,KETEL ONE VODKA 70CL 40%,40.0,ml,FOUND,VOLARE TRIPLE SEC 20% 700ML,20.0,ml,FOUND,CRANBERRY JUICE 1LTR X 12,40.00,ml,FOUND
Bramble,Raspberries Punnet 125g Each,ddd,g,FOUND,TANQUERAY GIN 700ML,40.0,ml,FOUND,CHAMBORD RASPBERRY LIQEUER 700ML,20.0,ml,FOUND,MIXER LEMON JUICE 70cl,20.00,ml,FOUND
Banana Daiquiri***,DBI DEHYDRATED LIME SLICES 140G,2,asfs,FOUND,FINEST CALL LIME JUICE 1LTR DRS,20.0,ml,FOUND,Volare Banana 22% 700ml,20.0,,FOUND,Pampero Rum Blanco 700ml,50.00,,FOUND
Espresso Martini***,KETEL ONE VODKA 70CL 40%,50,ml,FOUND,KAHLUA 700ML,20.0,ml,FOUND,TEISSEIRE SYRUP VANILLA 1LT,10.0,ml,FOUND,,,,
Whiskey Sour***,Cube Ice,1,ea,FOUND,DBI DEHYDRATED ORANGE SLICES 140G,2.0,dasdasds,FOUND,BULLEIT RYE 700ML,50.0,ml,FOUND,MIXER LEMON JUICE 70cl,30.00,ml,FOUND
Margarita***,TEQUILA JOSE CUERVO 70CL38%,40,ml,FOUND,VOLARE TRIPLE SEC LIQUEUR 20% 70CL,20.0,ml,FOUND,FINEST CALL LIME JUICE 1LTR DRS,25.0,ml,FOUND,,,,
Mai Thai,Cube Ice,1,ea,FOUND,DBI DEHYDRATED LIME SLICES 140G,2.0,g,FOUND,VOLARE TRIPLE SEC 20% 700ML,20.0,ml,FOUND,FINEST CALL LIME JUICE 1LTR DRS,20.00,ml,FOUND
Buttered Asparagus,Scamorza Custard,50,g,MISSING,Wild Garlic Oil,10.0,ml,MISSING,Hazelnut Dressing,35.0,g,MISSING,Walnut Ketchup,20.00,g,MISSING
Foie Gras Torchon,Foie Gras,620,g,MISSING,Disaronno Jelly,12.5,ml,MISSING,Apricot,18.75,g,MISSING,"NUTS - Smoked Almonds, 1kg",12.50,g,FOUND
Beef Tartare,Beef Tartare,67,,MISSING,Caper Truffle Dressing,20.0,,MISSING,Taramasalata,25.0,,MISSING,Smoked Eel Fillets,10.00,,FOUND
Cured Salmon and Cod Mosiac,Salmon Fillets Large,200000,g,FOUND,Smoked Oyster Emulsion,10.0,g,MISSING,Dashi,5.0,ml,MISSING,Seaweed Gel,12.50,ml,MISSING
House Pappardelle Pasta,Short Rib Ragu,100,g,MISSING,Pappardelle Pasta,43.75,g,MISSING,Pecorino,25.0,g,MISSING,MUSHROOM HEN OF THE WOOD 5KG,12.50,g,FOUND
Currach Scallops,Scallop meat fresh,110,g,FOUND,Burnt Lime Foam,15.0,ml,MISSING,Kohlrabi Puure,40.0,g,MISSING,Pickled Kohlrabbi,20.00,g,MISSING
Lamb Assiette,Lamb Loin,140,,MISSING,Herb Crust,,g,MISSING,Lamb Croquette,,,MISSING,Lamb Belly,,g,MISSING
Pork Tomahawk,Pork Loin,107,g,MISSING,Cheek Croquette,50.0,g,MISSING,Pig Belly,125.0,g,MISSING,Celeriac Puure,33.30,g,MISSING
Roasted Sea Bass,Sea Bass Whole,140,g,FOUND,Confit Shimeji,25.0,g,MISSING,Miso Broth,,ml,MISSING,Samphire,,kg,FOUND
Beef Fillet,Pomme Anna,,,MISSING,Short Rib Ragu,,g,MISSING,Onion Puree,,,MISSING,Sauce Diane,,,MISSING
Black Sole,Black Sole,,,MISSING,Sauce Grenobloise,,,MISSING,Seaweed Potato,1.0,ea,MISSING,Broccoli Tenderstem,250.00,g,FOUND
Roasted Baby Carrots,Harissa Butter,,g,MISSING,"NUTS - Smoked Almonds, 1kg",,g,FOUND,,,,,,,,
Skinny Fries,Truffle Aioli,,g,MISSING,,,,,,,,,,,,
Triple Cooked Chunky Chips,Wild garlic aioli,,,MISSING,,,,,,,,,,,,
Grilled Hispi Cabbage,mornay cheese,,,MISSING,Chimichurri,,ml,MISSING,,,,,,,,
Tenderstem Broccoli,Ponzu,,g,MISSING,Walnuts Pickled (6 x 390g),,g,FOUND,,,,,,,,
Colcannon Mash,Colcannon,200,g,MISSING,,,,,,,,,,,,
Jelly and Ice Cream,Cooked Rhubarb,50,g,MISSING,Rhubarb Jelly,56.0,g,MISSING,Vanilla Custard,50.0,ml,MISSING,,,,
Brown Butter Cake,Brown Butter Cake,140,g,MISSING,Salt Ice Cream,,ml,MISSING,Custard Foam,,ml,MISSING,Poach Pears,,g,MISSING
Curragh Lamb Rump,Wild Garlic Emulsion,20,g,MISSING,Pea & Asparagus,,g,MISSING,Lamb Rump,200.0,,MISSING,Cheese:VelvetCloud LabnehSoft Cheese(1kg),30.00,g,FOUND
Creole Gumbo,Gumbo Sauce,50,ml,MISSING,Gumbo Risotto,150.0,g,MISSING,Sausage Morteau (400g x 5) KILO,25.0,g,FOUND,Iqf Raw Tiger Prawns Pd 16/20,"10,000.00",g,FOUND
Dubai Chocolate Dome,Dubai Dome,90,g,MISSING,Burnt Vanilla Ice Cream,33.3,ml,MISSING,White Chocolate + Lime Ganache,12.0,g,MISSING,Raspberry Gel,21.00,g,MISSING
